FORGE_PHASE_2_X_MODULE_DECISION_TABLE.txt
Generated: 2026-06-04
Scope: Concise module decision table for human review.

[Module Name | Classification | Recommended Domain | Ownership | Candidate | Action Recommendation | Priority | Notes]
segu-beca-ocr-intake-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
shared-ave-confidence-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
shared-ave-confidence-report.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible orphan / no incoming imports detected; possible duplicate / overlap candidate
shared-ave-death-benefit-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
shared-ave-death-benefit-report.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible orphan / no incoming imports detected; possible duplicate / overlap candidate
shared-ave-eligibility-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
shared-ave-portfolio-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
shared-ave-portfolio-report.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible orphan / no incoming imports detected; possible duplicate / overlap candidate
shared-ave-rescue-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
shared-ave-rescue-report.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected; possible duplicate / overlap candidate
shared-ave-type-inference-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
shared-ave-type-inference-report.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible orphan / no incoming imports detected; possible duplicate / overlap candidate
shared-benefit-hierarchy-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
shared-decision-clarity-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
shared-education-cost-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
shared-education-paths-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible duplicate / overlap candidate
smnyl-comisiones-gmm.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | ALTA | hardcoded/rule-pack-sensitive values possible; carrier-specific boundary review; possible orphan / no incoming imports detected Requires Compensation vs Rule Pack ownership validation.
smnyl-cross-sell-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; carrier-specific boundary review; possible orphan / no incoming imports detected
solucionline-retirement-parser.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
vida-mujer-client-explanation-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
vida-mujer-coverage-status-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
vida-mujer-financial-correction-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
vida-mujer-master-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
vida-mujer-pdf-ave-integration-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
vida-mujer-pdf-intake-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
vida-mujer-real-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
vida-mujer-rule-consistency-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
vida-mujer-status.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE | 04 PRODUCT INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
gmm-out-of-pocket-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible duplicate / overlap candidate
gmm-quote-parser.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
imagina-ser-client-presentation-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
imagina-ser-ocr-extractor.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | KEEP | MEDIA | No immediate static risk detected.
imagina-ser-scenario-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | KEEP | MEDIA | No immediate static risk detected.
orvi-decision-engine.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
orvi-event-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | KEEP | MEDIA | No immediate static risk detected.
orvi-wait-vs-cancel-engine.js | KEEP | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
segu-beca-master-test.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
segu-beca-meaningful-numbers-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
segu-beca-mxn-appendix-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
segu-beca-mxn-timeline-clean-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
shared-ave-growth-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
shared-ave-growth-report.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected; possible duplicate / overlap candidate
shared-clp-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
smnyl-productos-gmm.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible; carrier-specific boundary review
smnyl-productos-vida.js | DOCUMENT | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible; carrier-specific boundary review
vida-mujer-coverage-status-report.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected; possible duplicate / overlap candidate
vida-mujer-event-benefits-report.js | DELETE LATER ONLY IF PROVEN UNUSED | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
vida-mujer-knowledge-extractor-report.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected; possible duplicate / overlap candidate
vida-mujer-knowledge-extractor.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible duplicate / overlap candidate
vida-mujer-protected-diseases-engine.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
vida-mujer-protected-diseases-report.js | CONSOLIDATE LATER | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | 04 PRODUCT INTELLIGENCE ENGINE + Rule Pack/source documentation boundary | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected; possible duplicate / overlap candidate
ai-first-contact-message-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
client-engagement-master-test.js | CONSOLIDATE LATER | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | hardcoded/rule-pack-sensitive values possible; possible duplicate / overlap candidate
contact-attempt-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
contact-channel.constants.js | KEEP | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
contact-response-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
first-contact-objections.constants.js | KEEP | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
followup-message-context-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
followup-overdue-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
followup-priority-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
followup-recommendation-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
followup-reminder-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
followup-type.constants.js | KEEP | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
ghosting-status-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
hot-market-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
nash-coaching-insight-engine.js | CONSOLIDATE LATER | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
policy-last-contact-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
quick-actions-engine.js | CONSOLIDATE LATER | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible orphan / no incoming imports detected; possible duplicate / overlap candidate
referral-ai-followup.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
referral-card-ui.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
referral-followup-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
relationship-master-acceptance-test.js | DOCUMENT | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible
relationship-master-engine.js | KEEP | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
relationship-memory-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
smart-followup-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
smart-followup-message-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
smnyl-automation-engine.js | DOCUMENT | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | hardcoded/rule-pack-sensitive values possible; carrier-specific boundary review
smnyl-reminders-engine.js | DOCUMENT | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Core / Domain Module | DOCUMENT | MEDIA | carrier-specific boundary review
warm-market-segmentation-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 05 RELATIONSHIP INTELLIGENCE ENGINE | 05 RELATIONSHIP INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
center-of-influence-engine.js | REVIEW REQUIRED | 05 RELATIONSHIP INTELLIGENCE ENGINE or 02 SALES CONVERSION ENGINE; review required | 05 RELATIONSHIP INTELLIGENCE ENGINE or 02 SALES CONVERSION ENGINE; review required | Needs Further Human Validation | REVIEW REQUIRED | MEDIA | unknown / needs review; possible orphan / no incoming imports detected
referral-color-engine.js | REVIEW REQUIRED | 05 RELATIONSHIP INTELLIGENCE ENGINE or 02 SALES CONVERSION ENGINE; review required | 05 RELATIONSHIP INTELLIGENCE ENGINE or 02 SALES CONVERSION ENGINE; review required | Needs Further Human Validation | REVIEW REQUIRED | MEDIA | unknown / needs review; possible orphan / no incoming imports detected
referral-priority-engine.js | REVIEW REQUIRED | 05 RELATIONSHIP INTELLIGENCE ENGINE or 02 SALES CONVERSION ENGINE; review required | 05 RELATIONSHIP INTELLIGENCE ENGINE or 02 SALES CONVERSION ENGINE; review required | Needs Further Human Validation | REVIEW REQUIRED | MEDIA | unknown / needs review; possible orphan / no incoming imports detected
referral-temperature-engine.js | REVIEW REQUIRED | 05 RELATIONSHIP INTELLIGENCE ENGINE or 02 SALES CONVERSION ENGINE; review required | 05 RELATIONSHIP INTELLIGENCE ENGINE or 02 SALES CONVERSION ENGINE; review required | Needs Further Human Validation | REVIEW REQUIRED | MEDIA | unknown / needs review; possible orphan / no incoming imports detected
ai-sales-coach-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 06 LEARNING INTELLIGENCE ENGINE | 06 LEARNING INTELLIGENCE ENGINE | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
nash-learning-master-test.js | CONSOLIDATE LATER | 06 LEARNING INTELLIGENCE ENGINE | 06 LEARNING INTELLIGENCE ENGINE | Migration Candidate | CONSOLIDATE LATER | MEDIA | possible duplicate / overlap candidate
action-resolver-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
adaptive-question-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
advisor-alert-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
advisor-monitor-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
advisor-score-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
ai-context-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
ai-task-suggestion-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | MEDIA | hardcoded/rule-pack-sensitive values possible; possible orphan / no incoming imports detected
auto-task-generator-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
currency-normalization-engine.js | KEEP | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Core / Domain Module | KEEP | ALTA | No immediate static risk detected. Requires predictive vs historical truth and source/rate validation.
dashboard-priority-engine.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | ALTA | possible orphan / no incoming imports detected
drag-drop-policy-zone.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
error-boundary.js | KEEP | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
financial-story-task-builder.js | DELETE LATER ONLY IF PROVEN UNUSED | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Migration Candidate | DELETE LATER ONLY IF PROVEN UNUSED | BAJA | possible orphan / no incoming imports detected
forge-ai-prompt-builder.js | KEEP | 07 POLICY & SALES OPERATIONS | 07 POLICY & SALES OPERATIONS | Core / Domain Module | KEEP | BAJA | No immediate static risk detected.
